Emotion,Single-Step Distance,Multi-Step Distance,Improvement (%)
realization,0.6177324216010185,0.5745540245842521,6.9898220502751105
optimism,0.6408252454804746,0.4943428235846741,22.858403742501075
excitement,0.7379940974410785,0.5223632895837074,29.218500338288557
disappointment,0.8175827941532962,0.6537242653868676,20.04182694868518
love,0.4112347551833632,0.1752797792421404,57.37719707956448
fear,0.6736141860916959,0.5419523923746371,19.545579121627387
caring,0.6710580363470688,0.4801315516821657,28.451560718089162
confusion,0.6638468981665091,0.5499499505549673,17.15711076245379
surprise,0.7236514076607544,0.45659378322029126,36.90418088230389
sadness,0.6669278365165308,0.3878588124717849,41.843961035179966
neutral,0.2691326303221607,0.12011976701570141,55.367817394749174
grief,0.6566134926503566,0.4150398271103294,36.79084701183014
curiosity,0.41309626481961886,0.3689915273851166,10.676624600747937
anger,0.6523799159761243,0.39030614280408543,40.17195605721716
amusement,0.6047757194094342,0.3632090229540371,39.94318698695243
disapproval,0.5417623974842052,0.39025922308339894,27.96487447344908
joy,0.7407850418452517,0.31869245680655284,56.979091260710554
embarrassment,0.642790363065416,0.5904562503609536,8.141707734211385
desire,0.5922664515403473,0.5002081514015838,15.543392657028143
remorse,0.622547753495175,0.5552329504242643,10.812793507483496
annoyance,0.6719665647223276,0.5820143173895196,13.386417130736024
nervousness,0.6543857310799883,0.6200677257153181,5.244308323782107
gratitude,0.2999179513763661,0.06449196007390254,78.4967989485325
admiration,0.4273428303068957,0.1566341016171432,63.34696863764939
disgust,0.7281256694382934,0.6007566954470829,17.49271854259283
pride,0.6959605178560103,0.5971147965476038,14.20277713639742
approval,0.5220387827203329,0.4668080157705722,10.579820652778777
relief,0.7023008640589468,0.6115836054791718,12.917150358533622
